,TV,Radio,Newspaper,Sales
103,280.2,10.1,21.4,14.8
104,187.9,17.2,17.9,14.7
105,238.2,34.3,5.3,20.7
106,137.9,46.4,59,19.2
107,25,11,29.7,7.2
108,90.4,0.3,23.2,8.7
109,13.1,0.4,25.6,5.3
110,255.4,26.9,5.5,19.8
111,225.8,8.2,56.5,13.4
112,241.7,38,23.2,21.8
113,175.7,15.4,2.4,14.1
114,209.6,20.6,10.7,15.9
115,78.2,46.8,34.5,14.6
116,75.1,35,52.7,12.6
117,139.2,14.3,25.6,12.2
118,76.4,0.8,14.8,9.4
119,125.7,36.9,79.2,15.9
120,19.4,16,22.3,6.6
121,141.3,26.8,46.2,15.5
122,18.8,21.7,50.4,7
123,224,2.4,15.6,11.6
124,123.1,34.6,12.4,15.2
125,229.5,32.3,74.2,19.7
126,87.2,11.8,25.9,10.6
127,7.8,38.9,50.6,6.6
128,80.2,0,9.2,8.8
129,220.3,49,3.2,24.7
130,59.6,12,43.1,9.7
131,0.7,39.6,8.7,1.6
132,265.2,2.9,43,12.7
133,8.4,27.2,2.1,5.7
134,219.8,33.5,45.1,19.6
135,36.9,38.6,65.6,10.8
136,48.3,47,8.5,11.6
137,25.6,39,9.3,9.5
138,273.7,28.9,59.7,20.8
139,43,25.9,20.5,9.6
140,184.9,43.9,1.7,20.7
141,73.4,17,12.9,10.9
142,193.7,35.4,75.6,19.2
143,220.5,33.2,37.9,20.1
144,104.6,5.7,34.4,10.4
145,96.2,14.8,38.9,11.4
146,140.3,1.9,9,10.3
147,240.1,7.3,8.7,13.2
148,243.2,49,44.3,25.4
149,38,40.3,11.9,10.9
150,44.7,25.8,20.6,10.1
151,280.7,13.9,37,16.1
152,121,8.4,48.7,11.6
153,197.6,23.3,14.2,16.6
154,171.3,39.7,37.7,19
155,187.8,21.1,9.5,15.6
156,4.1,11.6,5.7,3.2
157,93.9,43.5,50.5,15.3
158,149.8,1.3,24.3,10.1
159,11.7,36.9,45.2,7.3
160,131.7,18.4,34.6,12.9
161,172.5,18.1,30.7,14.4
162,85.7,35.8,49.3,13.3
163,188.4,18.1,25.6,14.9
164,163.5,36.8,7.4,18
165,117.2,14.7,5.4,11.9
166,234.5,3.4,84.8,11.9
167,17.9,37.6,21.6,8
168,206.8,5.2,19.4,12.2
169,215.4,23.6,57.6,17.1
170,284.3,10.6,6.4,15
171,50,11.6,18.4,8.4
172,164.5,20.9,47.4,14.5
173,19.6,20.1,17,7.6
174,168.4,7.1,12.8,11.7
175,222.4,3.4,13.1,11.5
176,276.9,48.9,41.8,27
177,248.4,30.2,20.3,20.2
178,170.2,7.8,35.2,11.7
179,276.7,2.3,23.7,11.8
180,165.6,10,17.6,12.6
181,156.6,2.6,8.3,10.5
182,218.5,5.4,27.4,12.2
183,56.2,5.7,29.7,8.7
184,287.6,43,71.8,26.2
185,253.8,21.3,30,17.6
186,205,45.1,19.6,22.6
187,139.5,2.1,26.6,10.3
188,191.1,28.7,18.2,17.3
189,286,13.9,3.7,15.9
190,18.7,12.1,23.4,6.7
191,39.5,41.1,5.8,10.8
192,75.5,10.8,6,9.9
193,17.2,4.1,31.6,5.9
194,166.8,42,3.6,19.6
195,149.7,35.6,6,17.3
196,38.2,3.7,13.8,7.6
197,94.2,4.9,8.1,9.7
198,177,9.3,6.4,12.8
199,283.6,42,66.2,25.5
200,232.1,8.6,8.7,13.4
201,230.1,37.8,69.2,22.1
202,44.5,39.3,45.1,10.4
203,17.2,45.9,69.3,9.3
204,151.5,41.3,58.5,18.5
205,180.8,10.8,58.4,12.9
206,8.7,48.9,75,7.2
207,57.5,32.8,23.5,11.8
208,120.2,19.6,11.6,13.2
209,8.6,2.1,1,4.8
210,199.8,2.6,21.2,10.6
211,66.1,5.8,24.2,8.6
212,214.7,24,4,17.4
213,23.8,35.1,65.9,9.2
214,97.5,7.6,7.2,9.7
215,204.1,32.9,46,19
216,195.4,47.7,52.9,22.4
217,67.8,36.6,114,12.5
218,281.4,39.6,55.8,24.4
219,69.2,20.5,18.3,11.3
220,147.3,23.9,19.1,14.6
221,218.4,27.7,53.4,18
222,237.4,5.1,23.5,12.5
223,13.2,15.9,49.6,5.6
224,228.3,16.9,26.2,15.5
225,62.3,12.6,18.3,9.7
226,262.9,3.5,19.5,12
227,142.9,29.3,12.6,15
228,240.1,16.7,22.9,15.9
229,248.8,27.1,22.9,18.9
230,70.6,16,40.8,10.5
231,292.9,28.3,43.2,21.4
232,112.9,17.4,38.6,11.9
233,97.2,1.5,30,9.6
234,265.6,20,0.3,17.4
235,95.7,1.4,7.4,9.5
236,290.7,4.1,8.5,12.8
237,266.9,43.8,5,25.4
238,74.7,49.4,45.7,14.7
239,43.1,26.7,35.1,10.1
240,228,37.7,32,21.5
241,202.5,22.3,31.6,16.6
242,177,33.4,38.7,17.1
243,293.6,27.7,1.8,20.7
244,206.9,8.4,26.4,12.9
245,25.1,25.7,43.3,8.5
246,175.1,22.5,31.5,14.9
247,89.7,9.9,35.7,10.6
248,239.9,41.5,18.5,23.2
249,227.2,15.8,49.9,14.8
250,66.9,11.7,36.8,9.7
251,199.8,3.1,34.6,11.4
252,100.4,9.6,3.6,10.7
253,216.4,41.7,39.6,22.6
254,182.6,46.2,58.7,21.2
255,262.7,28.8,15.9,20.2
256,198.9,49.4,60,23.7
257,7.3,28.1,41.4,5.5
258,136.2,19.2,16.6,13.2
259,210.8,49.6,37.7,23.8
260,210.7,29.5,9.3,18.4
261,53.5,2,21.4,8.1
262,261.3,42.7,54.7,24.2
263,239.3,15.5,27.3,15.7
264,102.7,29.6,8.4,14
265,131.1,42.8,28.9,18
266,69,9.3,0.9,9.3
267,31.5,24.6,2.2,9.5
268,139.3,14.5,10.2,13.4
269,237.4,27.5,11,18.9
270,216.8,43.9,27.2,22.3
271,199.1,30.6,38.7,18.3
272,109.8,14.3,31.7,12.4
273,26.8,33,19.3,8.8
274,129.4,5.7,31.3,11
275,213.4,24.6,13.1,17
276,16.9,43.7,89.4,8.7
277,27.5,1.6,20.7,6.9
278,120.5,28.5,14.2,14.2
279,5.4,29.9,9.4,5.3
280,116,7.7,23.1,11
281,76.4,26.7,22.3,11.8
282,239.8,4.1,36.9,12.3
283,75.3,20.3,32.5,11.3
284,68.4,44.5,35.6,13.6
285,213.5,43,33.8,21.7
286,193.2,18.4,65.7,15.2
287,76.3,27.5,16,12
288,110.7,40.6,63.2,16
289,88.3,25.5,73.4,12.9
290,109.8,47.8,51.4,16.7
291,134.3,4.9,9.3,11.2
292,28.6,1.5,33,7.3
293,217.7,33.5,59,19.4
294,250.9,36.5,72.3,22.2
295,107.4,14,10.9,11.5
296,163.3,31.6,52.9,16.9
297,197.6,3.5,5.9,11.7
298,184.9,21,22,15.5
299,289.7,42.3,51.2,25.4
300,135.2,41.7,45.9,17.2
301,222.4,4.3,49.8,11.7
302,296.4,36.3,100.9,23.8
303,280.2,10.1,21.4,14.8
304,187.9,17.2,17.9,14.7
305,238.2,34.3,5.3,20.7
306,137.9,46.4,59,19.2
307,25,11,29.7,7.2
308,90.4,0.3,23.2,8.7
309,13.1,0.4,25.6,5.3
310,255.4,26.9,5.5,19.8
311,225.8,8.2,56.5,13.4
312,241.7,38,23.2,21.8
313,175.7,15.4,2.4,14.1
314,209.6,20.6,10.7,15.9
315,78.2,46.8,34.5,14.6
316,75.1,35,52.7,12.6
317,139.2,14.3,25.6,12.2
318,76.4,0.8,14.8,9.4
319,125.7,36.9,79.2,15.9
320,19.4,16,22.3,6.6
321,141.3,26.8,46.2,15.5
322,18.8,21.7,50.4,7
323,224,2.4,15.6,11.6
324,123.1,34.6,12.4,15.2
325,229.5,32.3,74.2,19.7
326,87.2,11.8,25.9,10.6
327,7.8,38.9,50.6,6.6
328,80.2,0,9.2,8.8
329,220.3,49,3.2,24.7
330,59.6,12,43.1,9.7
331,0.7,39.6,8.7,1.6
332,265.2,2.9,43,12.7
333,8.4,27.2,2.1,5.7
334,219.8,33.5,45.1,19.6
335,36.9,38.6,65.6,10.8
336,48.3,47,8.5,11.6
337,25.6,39,9.3,9.5
338,273.7,28.9,59.7,20.8
339,43,25.9,20.5,9.6
340,184.9,43.9,1.7,20.7
341,73.4,17,12.9,10.9
342,193.7,35.4,75.6,19.2
343,220.5,33.2,37.9,20.1
344,104.6,5.7,34.4,10.4
345,96.2,14.8,38.9,11.4
346,140.3,1.9,9,10.3
347,240.1,7.3,8.7,13.2
348,243.2,49,44.3,25.4
349,38,40.3,11.9,10.9
350,44.7,25.8,20.6,10.1
351,280.7,13.9,37,16.1
352,121,8.4,48.7,11.6
353,197.6,23.3,14.2,16.6
354,171.3,39.7,37.7,19
355,187.8,21.1,9.5,15.6
356,4.1,11.6,5.7,3.2
357,93.9,43.5,50.5,15.3
358,149.8,1.3,24.3,10.1
359,11.7,36.9,45.2,7.3
360,131.7,18.4,34.6,12.9
361,172.5,18.1,30.7,14.4
362,85.7,35.8,49.3,13.3
363,188.4,18.1,25.6,14.9
364,163.5,36.8,7.4,18
365,117.2,14.7,5.4,11.9
366,234.5,3.4,84.8,11.9
367,17.9,37.6,21.6,8
368,206.8,5.2,19.4,12.2
369,215.4,23.6,57.6,17.1
370,284.3,10.6,6.4,15
371,50,11.6,18.4,8.4
372,164.5,20.9,47.4,14.5
373,19.6,20.1,17,7.6
374,168.4,7.1,12.8,11.7
375,222.4,3.4,13.1,11.5
376,276.9,48.9,41.8,27
377,248.4,30.2,20.3,20.2
378,170.2,7.8,35.2,11.7
379,276.7,2.3,23.7,11.8
380,165.6,10,17.6,12.6
381,156.6,2.6,8.3,10.5
382,218.5,5.4,27.4,12.2
383,56.2,5.7,29.7,8.7
384,287.6,43,71.8,26.2
385,253.8,21.3,30,17.6
386,205,45.1,19.6,22.6
387,139.5,2.1,26.6,10.3
388,191.1,28.7,18.2,17.3
389,286,13.9,3.7,15.9
390,18.7,12.1,23.4,6.7
391,39.5,41.1,5.8,10.8
392,75.5,10.8,6,9.9
393,17.2,4.1,31.6,5.9
394,166.8,42,3.6,19.6
395,149.7,35.6,6,17.3
396,38.2,3.7,13.8,7.6
397,94.2,4.9,8.1,9.7
398,177,9.3,6.4,12.8
399,283.6,42,66.2,25.5
400,232.1,8.6,8.7,13.4
401,230.1,37.8,69.2,22.1
402,44.5,39.3,45.1,10.4
403,17.2,45.9,69.3,9.3
404,151.5,41.3,58.5,18.5
405,180.8,10.8,58.4,12.9
406,8.7,48.9,75,7.2
407,57.5,32.8,23.5,11.8
408,120.2,19.6,11.6,13.2
409,8.6,2.1,1,4.8
410,199.8,2.6,21.2,10.6
411,66.1,5.8,24.2,8.6
412,214.7,24,4,17.4
413,23.8,35.1,65.9,9.2
414,97.5,7.6,7.2,9.7
415,204.1,32.9,46,19
416,195.4,47.7,52.9,22.4
417,67.8,36.6,114,12.5
418,281.4,39.6,55.8,24.4
419,69.2,20.5,18.3,11.3
420,147.3,23.9,19.1,14.6
421,218.4,27.7,53.4,18
422,237.4,5.1,23.5,12.5
423,13.2,15.9,49.6,5.6
424,228.3,16.9,26.2,15.5
425,62.3,12.6,18.3,9.7
426,262.9,3.5,19.5,12
427,142.9,29.3,12.6,15
428,240.1,16.7,22.9,15.9
429,248.8,27.1,22.9,18.9
430,70.6,16,40.8,10.5
431,292.9,28.3,43.2,21.4
432,112.9,17.4,38.6,11.9
433,97.2,1.5,30,9.6
434,265.6,20,0.3,17.4
435,95.7,1.4,7.4,9.5
436,290.7,4.1,8.5,12.8
437,266.9,43.8,5,25.4
438,74.7,49.4,45.7,14.7
439,43.1,26.7,35.1,10.1
440,228,37.7,32,21.5
441,202.5,22.3,31.6,16.6
442,177,33.4,38.7,17.1
443,293.6,27.7,1.8,20.7
444,206.9,8.4,26.4,12.9
445,25.1,25.7,43.3,8.5
446,175.1,22.5,31.5,14.9
447,89.7,9.9,35.7,10.6
448,239.9,41.5,18.5,23.2
449,227.2,15.8,49.9,14.8
450,66.9,11.7,36.8,9.7
451,199.8,3.1,34.6,11.4
452,100.4,9.6,3.6,10.7
453,216.4,41.7,39.6,22.6
454,182.6,46.2,58.7,21.2
455,262.7,28.8,15.9,20.2
456,198.9,49.4,60,23.7
457,7.3,28.1,41.4,5.5
458,136.2,19.2,16.6,13.2
459,210.8,49.6,37.7,23.8
460,210.7,29.5,9.3,18.4
461,53.5,2,21.4,8.1
462,261.3,42.7,54.7,24.2
463,239.3,15.5,27.3,15.7
464,102.7,29.6,8.4,14
465,131.1,42.8,28.9,18
466,69,9.3,0.9,9.3
467,31.5,24.6,2.2,9.5
468,139.3,14.5,10.2,13.4
469,237.4,27.5,11,18.9
470,216.8,43.9,27.2,22.3
471,199.1,30.6,38.7,18.3
472,109.8,14.3,31.7,12.4
473,26.8,33,19.3,8.8
474,129.4,5.7,31.3,11
475,213.4,24.6,13.1,17
476,16.9,43.7,89.4,8.7
477,27.5,1.6,20.7,6.9
478,120.5,28.5,14.2,14.2
479,5.4,29.9,9.4,5.3
480,116,7.7,23.1,11
481,76.4,26.7,22.3,11.8
482,239.8,4.1,36.9,12.3
483,75.3,20.3,32.5,11.3
484,68.4,44.5,35.6,13.6
485,213.5,43,33.8,21.7
486,193.2,18.4,65.7,15.2
487,76.3,27.5,16,12
488,110.7,40.6,63.2,16
489,88.3,25.5,73.4,12.9
490,109.8,47.8,51.4,16.7
491,134.3,4.9,9.3,11.2
492,28.6,1.5,33,7.3
493,217.7,33.5,59,19.4
494,250.9,36.5,72.3,22.2
495,107.4,14,10.9,11.5
496,163.3,31.6,52.9,16.9
497,197.6,3.5,5.9,11.7
498,184.9,21,22,15.5
499,289.7,42.3,51.2,25.4
500,135.2,41.7,45.9,17.2
501,222.4,4.3,49.8,11.7
502,296.4,36.3,100.9,23.8
503,280.2,10.1,21.4,14.8
504,187.9,17.2,17.9,14.7
505,238.2,34.3,5.3,20.7
506,137.9,46.4,59,19.2
507,25,11,29.7,7.2
508,90.4,0.3,23.2,8.7
509,13.1,0.4,25.6,5.3
510,255.4,26.9,5.5,19.8
511,225.8,8.2,56.5,13.4
512,241.7,38,23.2,21.8
513,175.7,15.4,2.4,14.1
514,209.6,20.6,10.7,15.9
515,78.2,46.8,34.5,14.6
516,75.1,35,52.7,12.6
517,139.2,14.3,25.6,12.2
518,76.4,0.8,14.8,9.4
519,125.7,36.9,79.2,15.9
520,19.4,16,22.3,6.6
521,141.3,26.8,46.2,15.5
522,18.8,21.7,50.4,7
523,224,2.4,15.6,11.6
524,123.1,34.6,12.4,15.2
525,229.5,32.3,74.2,19.7
526,87.2,11.8,25.9,10.6
527,7.8,38.9,50.6,6.6
528,80.2,0,9.2,8.8
529,220.3,49,3.2,24.7
530,59.6,12,43.1,9.7
531,0.7,39.6,8.7,1.6
532,265.2,2.9,43,12.7
533,8.4,27.2,2.1,5.7
534,219.8,33.5,45.1,19.6
535,36.9,38.6,65.6,10.8
536,48.3,47,8.5,11.6
537,25.6,39,9.3,9.5
538,273.7,28.9,59.7,20.8
539,43,25.9,20.5,9.6
540,184.9,43.9,1.7,20.7
541,73.4,17,12.9,10.9
542,193.7,35.4,75.6,19.2
543,220.5,33.2,37.9,20.1
544,104.6,5.7,34.4,10.4
545,96.2,14.8,38.9,11.4
546,140.3,1.9,9,10.3
547,240.1,7.3,8.7,13.2
548,243.2,49,44.3,25.4
549,38,40.3,11.9,10.9
550,44.7,25.8,20.6,10.1
551,280.7,13.9,37,16.1
552,121,8.4,48.7,11.6
553,197.6,23.3,14.2,16.6
554,171.3,39.7,37.7,19
555,187.8,21.1,9.5,15.6
556,4.1,11.6,5.7,3.2
557,93.9,43.5,50.5,15.3
558,149.8,1.3,24.3,10.1
559,11.7,36.9,45.2,7.3
560,131.7,18.4,34.6,12.9
561,172.5,18.1,30.7,14.4
562,85.7,35.8,49.3,13.3
563,188.4,18.1,25.6,14.9
564,163.5,36.8,7.4,18
565,117.2,14.7,5.4,11.9
566,234.5,3.4,84.8,11.9
567,17.9,37.6,21.6,8
568,206.8,5.2,19.4,12.2
569,215.4,23.6,57.6,17.1
570,284.3,10.6,6.4,15
571,50,11.6,18.4,8.4
572,164.5,20.9,47.4,14.5
573,19.6,20.1,17,7.6
574,168.4,7.1,12.8,11.7
575,222.4,3.4,13.1,11.5
576,276.9,48.9,41.8,27
577,248.4,30.2,20.3,20.2
578,170.2,7.8,35.2,11.7
579,276.7,2.3,23.7,11.8
580,165.6,10,17.6,12.6
581,156.6,2.6,8.3,10.5
582,218.5,5.4,27.4,12.2
583,56.2,5.7,29.7,8.7
584,287.6,43,71.8,26.2
585,253.8,21.3,30,17.6
586,205,45.1,19.6,22.6
587,139.5,2.1,26.6,10.3
588,191.1,28.7,18.2,17.3
589,286,13.9,3.7,15.9
590,18.7,12.1,23.4,6.7
591,39.5,41.1,5.8,10.8
592,75.5,10.8,6,9.9
593,17.2,4.1,31.6,5.9
594,166.8,42,3.6,19.6
595,149.7,35.6,6,17.3
596,38.2,3.7,13.8,7.6
597,94.2,4.9,8.1,9.7
598,177,9.3,6.4,12.8
599,283.6,42,66.2,25.5
600,232.1,8.6,8.7,13.4
601,230.1,37.8,69.2,22.1
602,44.5,39.3,45.1,10.4
603,17.2,45.9,69.3,9.3
604,151.5,41.3,58.5,18.5
605,180.8,10.8,58.4,12.9
606,8.7,48.9,75,7.2
607,57.5,32.8,23.5,11.8
608,120.2,19.6,11.6,13.2
609,8.6,2.1,1,4.8
610,199.8,2.6,21.2,10.6
611,66.1,5.8,24.2,8.6
612,214.7,24,4,17.4
613,23.8,35.1,65.9,9.2
614,97.5,7.6,7.2,9.7
615,204.1,32.9,46,19
616,195.4,47.7,52.9,22.4
617,67.8,36.6,114,12.5
618,281.4,39.6,55.8,24.4
619,69.2,20.5,18.3,11.3
620,147.3,23.9,19.1,14.6
621,218.4,27.7,53.4,18
622,237.4,5.1,23.5,12.5
623,13.2,15.9,49.6,5.6
624,228.3,16.9,26.2,15.5
625,62.3,12.6,18.3,9.7
626,262.9,3.5,19.5,12
627,142.9,29.3,12.6,15
628,240.1,16.7,22.9,15.9
629,248.8,27.1,22.9,18.9
630,70.6,16,40.8,10.5
631,292.9,28.3,43.2,21.4
632,112.9,17.4,38.6,11.9
633,97.2,1.5,30,9.6
634,265.6,20,0.3,17.4
635,95.7,1.4,7.4,9.5
636,290.7,4.1,8.5,12.8
637,266.9,43.8,5,25.4
638,74.7,49.4,45.7,14.7
639,43.1,26.7,35.1,10.1
640,228,37.7,32,21.5
641,202.5,22.3,31.6,16.6
642,177,33.4,38.7,17.1
643,293.6,27.7,1.8,20.7
644,206.9,8.4,26.4,12.9
645,25.1,25.7,43.3,8.5
646,175.1,22.5,31.5,14.9
647,89.7,9.9,35.7,10.6
648,239.9,41.5,18.5,23.2
649,227.2,15.8,49.9,14.8
650,66.9,11.7,36.8,9.7
651,199.8,3.1,34.6,11.4
652,100.4,9.6,3.6,10.7
653,216.4,41.7,39.6,22.6
654,182.6,46.2,58.7,21.2
655,262.7,28.8,15.9,20.2
656,198.9,49.4,60,23.7
657,7.3,28.1,41.4,5.5
658,136.2,19.2,16.6,13.2
659,210.8,49.6,37.7,23.8
660,210.7,29.5,9.3,18.4
661,53.5,2,21.4,8.1
662,261.3,42.7,54.7,24.2
663,239.3,15.5,27.3,15.7
664,102.7,29.6,8.4,14
665,131.1,42.8,28.9,18
666,69,9.3,0.9,9.3
667,31.5,24.6,2.2,9.5
668,139.3,14.5,10.2,13.4
669,237.4,27.5,11,18.9
670,216.8,43.9,27.2,22.3
671,199.1,30.6,38.7,18.3
672,109.8,14.3,31.7,12.4
673,26.8,33,19.3,8.8
674,129.4,5.7,31.3,11
675,213.4,24.6,13.1,17
676,16.9,43.7,89.4,8.7
677,27.5,1.6,20.7,6.9
678,120.5,28.5,14.2,14.2
679,5.4,29.9,9.4,5.3
680,116,7.7,23.1,11
681,76.4,26.7,22.3,11.8
682,239.8,4.1,36.9,12.3
683,75.3,20.3,32.5,11.3
684,68.4,44.5,35.6,13.6
685,213.5,43,33.8,21.7
686,193.2,18.4,65.7,15.2
687,76.3,27.5,16,12
688,110.7,40.6,63.2,16
689,88.3,25.5,73.4,12.9
690,109.8,47.8,51.4,16.7
691,134.3,4.9,9.3,11.2
692,28.6,1.5,33,7.3
693,217.7,33.5,59,19.4
694,250.9,36.5,72.3,22.2
695,107.4,14,10.9,11.5
696,163.3,31.6,52.9,16.9
697,197.6,3.5,5.9,11.7
698,184.9,21,22,15.5
699,289.7,42.3,51.2,25.4
700,135.2,41.7,45.9,17.2
701,222.4,4.3,49.8,11.7
702,296.4,36.3,100.9,23.8
703,280.2,10.1,21.4,14.8
704,187.9,17.2,17.9,14.7
705,238.2,34.3,5.3,20.7
706,137.9,46.4,59,19.2
707,25,11,29.7,7.2
708,90.4,0.3,23.2,8.7
709,13.1,0.4,25.6,5.3
710,255.4,26.9,5.5,19.8
711,225.8,8.2,56.5,13.4
712,241.7,38,23.2,21.8
713,175.7,15.4,2.4,14.1
714,209.6,20.6,10.7,15.9
715,78.2,46.8,34.5,14.6
716,75.1,35,52.7,12.6
717,139.2,14.3,25.6,12.2
718,76.4,0.8,14.8,9.4
719,125.7,36.9,79.2,15.9
720,19.4,16,22.3,6.6
721,141.3,26.8,46.2,15.5
722,18.8,21.7,50.4,7
723,224,2.4,15.6,11.6
724,123.1,34.6,12.4,15.2
725,229.5,32.3,74.2,19.7
726,87.2,11.8,25.9,10.6
727,7.8,38.9,50.6,6.6
728,80.2,0,9.2,8.8
729,220.3,49,3.2,24.7
730,59.6,12,43.1,9.7
731,0.7,39.6,8.7,1.6
732,265.2,2.9,43,12.7
733,8.4,27.2,2.1,5.7
734,219.8,33.5,45.1,19.6
735,36.9,38.6,65.6,10.8
736,48.3,47,8.5,11.6
737,25.6,39,9.3,9.5
738,273.7,28.9,59.7,20.8
739,43,25.9,20.5,9.6
740,184.9,43.9,1.7,20.7
741,73.4,17,12.9,10.9
742,193.7,35.4,75.6,19.2
743,220.5,33.2,37.9,20.1
744,104.6,5.7,34.4,10.4
745,96.2,14.8,38.9,11.4
746,140.3,1.9,9,10.3
747,240.1,7.3,8.7,13.2
748,243.2,49,44.3,25.4
749,38,40.3,11.9,10.9
750,44.7,25.8,20.6,10.1
751,280.7,13.9,37,16.1
752,121,8.4,48.7,11.6
753,197.6,23.3,14.2,16.6
754,171.3,39.7,37.7,19
755,187.8,21.1,9.5,15.6
756,4.1,11.6,5.7,3.2
757,93.9,43.5,50.5,15.3
758,149.8,1.3,24.3,10.1
759,11.7,36.9,45.2,7.3
760,131.7,18.4,34.6,12.9
761,172.5,18.1,30.7,14.4
762,85.7,35.8,49.3,13.3
763,188.4,18.1,25.6,14.9
764,163.5,36.8,7.4,18
765,117.2,14.7,5.4,11.9
766,234.5,3.4,84.8,11.9
767,17.9,37.6,21.6,8
768,206.8,5.2,19.4,12.2
769,215.4,23.6,57.6,17.1
770,284.3,10.6,6.4,15
771,50,11.6,18.4,8.4
772,164.5,20.9,47.4,14.5
773,19.6,20.1,17,7.6
774,168.4,7.1,12.8,11.7
775,222.4,3.4,13.1,11.5
776,276.9,48.9,41.8,27
777,248.4,30.2,20.3,20.2
778,170.2,7.8,35.2,11.7
779,276.7,2.3,23.7,11.8
780,165.6,10,17.6,12.6
781,156.6,2.6,8.3,10.5
782,218.5,5.4,27.4,12.2
783,56.2,5.7,29.7,8.7
784,287.6,43,71.8,26.2
785,253.8,21.3,30,17.6
786,205,45.1,19.6,22.6
787,139.5,2.1,26.6,10.3
788,191.1,28.7,18.2,17.3
789,286,13.9,3.7,15.9
790,18.7,12.1,23.4,6.7
791,39.5,41.1,5.8,10.8
792,75.5,10.8,6,9.9
793,17.2,4.1,31.6,5.9
794,166.8,42,3.6,19.6
795,149.7,35.6,6,17.3
796,38.2,3.7,13.8,7.6
797,94.2,4.9,8.1,9.7
798,177,9.3,6.4,12.8
799,283.6,42,66.2,25.5
800,232.1,8.6,8.7,13.4
801,230.1,37.8,69.2,22.1
802,44.5,39.3,45.1,10.4
803,17.2,45.9,69.3,9.3
804,151.5,41.3,58.5,18.5
805,180.8,10.8,58.4,12.9
806,8.7,48.9,75,7.2
807,57.5,32.8,23.5,11.8
808,120.2,19.6,11.6,13.2
809,8.6,2.1,1,4.8
